stop_id,stop_name,Line,current_pop_pulled
D31,Newkirk Plaza,Broadway - Brighton,16529
G19,Steinway St,Queens Blvd,11904
F03,Parsons Blvd,Queens Blvd,33263
133,Christopher St-Stonewall,Broadway - 7Av,14152
420,Bowling Green,Lexington Av,3135
609,St Lawrence Av,Pelham,37718
116,125 St,Broadway - 7Av,15002
R11,Lexington Av/59 St,Astoria,10960
F18,York St,6th Av - Culver,7939
F31,Avenue I,6th Av - Culver,8454
B15,55 St,West End,20859
H09,Beach 36 St,Rockaway,1155
M23,Broad St,Jamaica,2594
625,96 St,Lexington Av,22621
R17,34 St-Herald Sq,Broadway - Brighton,2228
901,Grand Central-42 St,Lexington - Shuttle,2255
142,South Ferry,Broadway - 7Av,8
D06,182-183 Sts,Concourse,35043
640,Brooklyn Bridge-City Hall,Lexington Av,76
A14,135 St,8th Av - Fulton St,11750
211,Pelham Pkwy,Lenox - White Plains Rd,21222
N07,Bay Pkwy,Sea Beach,18416
225,125 St,Lenox - White Plains Rd,10369
B14,50 St,West End,23310
R45,Bay Ridge-95 St,4th Av,22549
G28,Nassau Av,Crosstown,16765
A33,Spring St,8th Av - Fulton St,4958
411,Mt Eden Av,Jerome Av,19034
A09,168 St,8th Av - Fulton St,12137
G05,Jamaica Center-Parsons/Archer,Queens - Archer,84341
109,Dyckman St,Broadway - 7Av,17660
R40,53 St,4th Av,19914
A59,80 St,Liberty Av,12165
A50,Rockaway Av,8th Av - Fulton St,17328
G14,Jackson Hts-Roosevelt Av,Queens Blvd,7388
D35,Kings Hwy,Broadway - Brighton,44770
626,86 St,Lexington Av,22870
R03,Astoria Blvd,Astoria,19774
216,Freeman St,Lenox - White Plains Rd,22811
D01,Norwood-205 St,Concourse,25858
706,103 St-Corona Plaza,Flushing,47429
243,Winthrop St,Nostrand,20674
F23,4 Av-9 St,6th Av - Culver,5047
F26,Fort Hamilton Pkwy,6th Av - Culver,11192
F38,Avenue X,6th Av - Culver,10490
205,233 St,Lenox - White Plains Rd,20800
L16,DeKalb Av,Canarsie,14638
L28,East 105 St,Canarsie,18627
721,Vernon Blvd-Jackson Av,Flushing,16075
621,125 St,Lexington Av,26519
137,Chambers St,Broadway - 7Av,4461
A65,Ozone Park-Lefferts Blvd,Liberty Av,58946
B19,18 Av,West End,25752
M19,Bowery,Jamaica,3750
R33,4 Av-9 St,4th Av,6817
239,Franklin Av-Medgar Evers College,Eastern Pky,5825
636,Astor Pl,Lexington Av,5665
D28,Church Av,Broadway - Brighton,18962
R28,Court St,Broadway,7273
J28,Chauncey St,Jamaica,6722
712,61 St-Woodside,Flushing,26689
D41,Ocean Pkwy,Broadway - Brighton,12710
J21,Norwood Av,Jamaica,6826
104,231 St,Broadway - 7Av,29126
G10,63 Dr-Rego Park,Queens Blvd,51313
A28,34 St-Penn Station,8th Av - Fulton St,10233
H12,Beach 90 St,Rockaway,8504
126,50 St,Broadway - 7Av,2235
120,96 St,Broadway - 7Av,31102
A45,Franklin Av,8th Av - Fulton St,6772
630,51 St,Lexington Av,3999
N02,8 Av,Sea Beach,28420
235,Atlantic Av-Barclays Ctr,Eastern Pky,52
247,Flatbush Av-Brooklyn College,Nostrand,93361
401,Woodlawn,Jerome Av,9338
505,Morris Park,Dyre Av,19761
L01,8 Av,Canarsie,11342
612,Whitlock Av,Pelham,6104
M12,Flushing Av,Jamaica,14539
220,Jackson Av,Lenox - White Plains Rd,17490
D07,Tremont Av,Concourse,22811
L08,Bedford Av,Canarsie,27451
B06,Roosevelt Island,63rd St,20557
J15,Woodhaven Blvd,Jamaica,17890
F14,2 Av,6th Av - Culver,16989
253,Rockaway Av,Eastern Pky,24704
G21,Queens Plaza,Queens Blvd,0.0
725,Times Sq-42 St,Flushing,0.0
419,Wall St,Lexington Av,0.0
R25,Cortlandt St,Broadway,0.0
A34,Canal St,8th Av - Fulton St,0.0
719,Court Sq,Flushing,0.0
R16,Times Sq-42 St,Broadway - Brighton,0.0
A38,Fulton St,8th Av - Fulton St,0.0
M22,Fulton St,Jamaica,0.0
D20,W 4 St-Wash Sq,6th Av - Culver,0.0
D13,145 St,Concourse,0.0
J27,Broadway Junction,Jamaica,0.0
232,Borough Hall,Clark St,0.0
L22,Broadway Junction,Canarsie,0.0
D17,34 St-Herald Sq,6th Av - Culver,0.0
718,Queensboro Plaza,Flushing,0.0
228,Park Place,Clark St,0.0
