candidate_id,candidate_name,route,total_pop_pulled,neighbor_pop
CAND_G18_G19,46 St – Steinway St,M,7249.0,"Dict(""G18"" => 3399.0, ""G19"" => 3850.0)"
CAND_M01_M04,Middle Village-Metropolitan Av – Fresh Pond Rd,M,14690.0,"Dict(""M01"" => 6369.0, ""M04"" => 7483.0, ""M05"" => 838.0)"
CAND_M05_M06,Forest Av – Seneca Av,M,7543.0,"Dict(""M06"" => 3746.0, ""M05"" => 3797.0)"
CAND_M08_M09,Myrtle-Wyckoff Avs – Knickerbocker Av,M,7195.0,"Dict(""J29"" => 813.0, ""M09"" => 2628.0, ""M08"" => 3754.0)"
CAND_M10_M11,Central Av – Myrtle Av,M,4298.0,"Dict(""M10"" => 780.0, ""M11"" => 3518.0)"
CAND_M14_M16,Hewes St – Marcy Av,M,6636.0,"Dict(""M14"" => 3593.0, ""M16"" => 3043.0)"
CAND_G12_G13,Grand Av-Newtown – Elmhurst Av,R,14592.0,"Dict(""G13"" => 8313.0, ""G12"" => 6279.0)"
CAND_G14_G15,Jackson Hts-Roosevelt Av – 65 St,R,14089.0,"Dict(""711"" => 1913.0, ""G15"" => 5629.0, ""710"" => 6547.0)"
CAND_R14_R15,57 St-7 Av – 49 St,R,0.0,"Dict{String, Float64}()"
CAND_R29_R30,Jay St-MetroTech – DeKalb Av,R,5801.0,"Dict(""233"" => 5801.0)"
CAND_R33_R34,4 Av-9 St – Prospect Av,R,5570.0,"Dict(""R34"" => 2439.0, ""F23"" => 3131.0)"
CAND_R42_R43,Bay Ridge Av – 77 St,R,15360.0,"Dict(""R42"" => 7917.0, ""R43"" => 7443.0)"
CAND_N05_N06,18 Av – 20 Av,W,9529.0,"Dict(""N05"" => 4911.0, ""N06"" => 4618.0)"
CAND_N07_N08,Bay Pkwy – Kings Hwy,W,4775.0,"Dict(""N08"" => 3182.0, ""N07"" => 1593.0)"
CAND_N09_N10,Avenue U – 86 St,W,2302.0,"Dict(""N09"" => 2302.0)"
CAND_R03_R04,Astoria Blvd – 30 Av,W,9689.0,"Dict(""R04"" => 8040.0, ""R03"" => 1649.0)"
CAND_R06_R08,36 Av – 39 Av-Dutch Kills,W,2512.0,"Dict(""R08"" => 973.0, ""R06"" => 1539.0)"
CAND_R11_R13,Lexington Av/59 St – 5 Av/59 St,W,1279.0,"Dict(""B08"" => 503.0, ""629"" => 776.0)"
CAND_R16_R17,Times Sq-42 St – 34 St-Herald Sq,W,0.0,"Dict{String, Float64}()"
CAND_R21_R22,8 St-NYU – Prince St,W,1682.0,"Dict(""637"" => 1682.0)"
CAND_R24_R25,City Hall – Cortlandt St,W,0.0,"Dict{String, Float64}()"
CAND_R26_R27,Rector St – Whitehall St-South Ferry,W,0.0,"Dict{String, Float64}()"
CAND_R31_R32,Atlantic Av-Barclays Ctr – Union St,W,6648.0,"Dict(""R32"" => 3465.0, ""R31"" => 3183.0)"
CAND_R35_R36,25 St – 36 St,W,5737.0,"Dict(""R36"" => 4311.0, ""R35"" => 1426.0)"
CAND_R40_R41,53 St – 59 St,W,9648.0,"Dict(""R41"" => 4532.0, ""R40"" => 5116.0)"
